RID,CuAuthorID,ResearcherID,ResearcherIDTip,Oncelik,Tarandi,Dogrulandi,DogrulayanPersonelRol_Id,DogrulamaZamani
1,1,J-6676-2018,1,1,NULL,NULL,NULL,NULL
2,1,0000-0001-7806-3317,2,1,NULL,NULL,NULL,NULL
3,2,CZH-8124-2022,1,1,NULL,1,12212,2024-05-19 15:00:35.960
4,2,0000-0002-6922-5457,2,1,NULL,1,10493,2024-10-10 09:41:21.797
7,4,0000-0002-2026-1713,2,1,NULL,NULL,NULL,NULL
8,4,56963662400,4,1,NULL,NULL,NULL,NULL
9,5,T-2210-2018,1,1,NULL,NULL,NULL,NULL
10,5,0000-0002-1650-5957,2,1,NULL,NULL,NULL,NULL
11,5,L1Hj-NoAAAAJ,3,1,NULL,NULL,NULL,NULL
12,5,4347163,4,1,NULL,NULL,NULL,NULL
13,7,AAL-3686-2020,1,1,NULL,NULL,NULL,NULL
14,7,0000-0002-0971-3379,2,1,NULL,NULL,NULL,NULL
15,8,GBR-2934-2022,1,1,NULL,NULL,NULL,NULL
17,9,0000-0001-9132-0349,2,1,NULL,NULL,NULL,NULL
18,10,AAB-6045-2021,1,1,NULL,NULL,NULL,NULL
19,10,0000-0001-9903-6246,2,1,NULL,NULL,NULL,NULL
21,11,0000-0003-1490-8725,2,1,NULL,NULL,NULL,NULL
22,12,0000-0003-2050-2158,2,1,NULL,NULL,NULL,NULL
23,13,G-1042-2018,1,1,NULL,NULL,NULL,NULL
24,13,0000-0002-3805-7817,2,1,NULL,NULL,NULL,NULL
25,14,CEC-6818-2022,1,1,NULL,NULL,NULL,NULL
26,15,K-2103-2018,1,1,NULL,NULL,NULL,NULL
27,15,0000-0001-9383-4191,2,1,NULL,NULL,NULL,NULL
28,17,0000-0002-8082-9577,2,1,NULL,NULL,NULL,NULL
29,18,CLO-0122-2022,1,1,NULL,NULL,NULL,NULL
30,19,E-8696-2018,1,1,NULL,1,12212,2024-05-28 13:23:32.617
31,19,0000-0002-2644-5628,2,1,NULL,1,10499,2024-10-23 08:15:17.283
33,20,0000-0002-9750-7531,2,1,NULL,NULL,NULL,NULL
34,20,4xI-lsYAAAAJ,3,1,NULL,NULL,NULL,NULL
35,20,55940729500,4,1,NULL,NULL,NULL,NULL
36,21,V-1265-2018,1,1,NULL,NULL,NULL,NULL
37,21,CMZ-8086-2022,1,2,NULL,NULL,NULL,NULL
38,21,0000-0003-2381-3066,2,1,NULL,NULL,NULL,NULL
39,21,56557094500,4,1,NULL,NULL,NULL,NULL
40,22,V-4242-2018,1,1,NULL,NULL,NULL,NULL
41,22,0000-0003-2676-5346,2,1,NULL,NULL,NULL,NULL
42,23,JHX-7036-2023,1,1,NULL,NULL,NULL,NULL
43,23,0000-0003-2095-9449,2,1,NULL,NULL,NULL,NULL
44,24,Q-2765-2016,1,1,NULL,1,10503,2024-10-31 18:27:06.807
45,24,0000-0002-7807-526X,2,1,NULL,1,10503,2024-10-31 18:27:06.807
46,24,3foH_VUAAAAJ,3,1,NULL,1,10503,2024-10-31 18:27:06.807
47,24,35179420700,4,1,NULL,1,10503,2024-10-31 18:27:06.807
48,25,D-7858-2018,1,1,NULL,NULL,NULL,NULL
49,25,0000-0002-1973-5977,2,1,NULL,NULL,NULL,NULL
51,26,0000-0002-7728-1811,2,1,NULL,NULL,NULL,NULL
52,27,ITD-7475-2023,1,1,NULL,NULL,NULL,NULL
53,27,0000-0001-7808-5145,2,1,NULL,NULL,NULL,NULL
54,28,E-9393-2018,1,1,NULL,NULL,NULL,NULL
55,28,0000-0002-7269-6719,2,1,NULL,NULL,NULL,NULL
56,29,G-5605-2018,1,1,NULL,NULL,NULL,NULL
57,29,0000-0003-3415-8159,2,1,NULL,NULL,NULL,NULL
58,29,aFFzmGYAAAAJ,3,1,NULL,NULL,NULL,NULL
59,29,25926993300,4,1,NULL,NULL,NULL,NULL
61,30,0000-0002-2204-9820,2,1,NULL,NULL,NULL,NULL
62,31,E-5071-2018,1,1,NULL,NULL,NULL,NULL
63,31,C-1824-2016,1,2,NULL,NULL,NULL,NULL
64,31,0000-0002-9485-3295,2,1,NULL,NULL,NULL,NULL
65,32,I-7632-2019,1,1,NULL,1,10510,2024-10-08 09:42:24.963
66,32,0000-0002-3245-7975,2,1,NULL,1,10510,2024-10-08 09:42:24.947
67,33,K-5334-2018,1,1,NULL,NULL,NULL,NULL
68,33,0000-0002-8685-1265,2,1,NULL,NULL,NULL,NULL
69,34,G-3633-2018,1,1,NULL,1,12212,2024-06-06 16:09:42.250
70,34,7005565613,4,1,NULL,NULL,NULL,NULL
71,35,I-9712-2018,1,1,NULL,NULL,NULL,NULL
72,35,0000-0002-4158-1038,2,1,NULL,NULL,NULL,NULL
74,35,35301078900,4,1,NULL,NULL,NULL,NULL
75,36,IIX-1586-2023,1,1,NULL,NULL,NULL,NULL
76,37,EQX-8030-2022,1,1,NULL,NULL,NULL,NULL
77,37,55908399300,4,1,NULL,NULL,NULL,NULL
79,38,0000-0002-4732-5975,2,1,NULL,1,10516,2024-11-11 17:44:38.050
80,38,6701388720,4,1,NULL,1,10516,2024-11-11 17:44:38.050
81,39,I-9666-2018,1,1,NULL,1,10517,2024-11-06 13:35:20.687
82,40,0000-0002-8415-5071,2,1,NULL,NULL,NULL,NULL
83,41,G-4658-2018,1,1,NULL,NULL,NULL,NULL
84,41,0000-0002-8860-7039,2,1,NULL,NULL,NULL,NULL
85,1645,G-5163-2018,1,1,NULL,NULL,NULL,NULL
86,1645,HNR-0164-2023,1,2,NULL,NULL,NULL,NULL
87,1645,0000-0003-2619-3317,2,1,NULL,NULL,NULL,NULL
88,43,H-1949-2018,1,1,NULL,NULL,NULL,NULL
89,43,0000-0002-1548-2386,2,1,NULL,NULL,NULL,NULL
90,44,EJR-0804-2022,1,1,NULL,NULL,NULL,NULL
91,45,B-8835-2018,1,1,NULL,NULL,NULL,NULL
92,45,T-6629-2019,1,2,NULL,NULL,NULL,NULL
93,45,0000-0003-3840-3107,2,1,NULL,NULL,NULL,NULL
94,45,57190946740,4,1,NULL,NULL,NULL,NULL
95,46,D-7862-2018,1,1,NULL,NULL,NULL,NULL
96,46,0000-0002-5457-8372,2,1,NULL,NULL,NULL,NULL
97,48,I-9949-2018,1,1,NULL,NULL,NULL,NULL
98,48,0000-0003-4226-9246,2,1,NULL,NULL,NULL,NULL
99,48,FSzKH8kAAAAJ,3,1,NULL,NULL,NULL,NULL
100,50,E-7798-2018,1,1,NULL,1,10524,2024-10-08 14:38:50.340
101,50,0000-0002-9990-4194,2,1,NULL,1,10524,2024-10-08 14:38:50.357
102,50,ZIGMdUQAAAAJ,3,1,NULL,1,10524,2024-10-08 14:38:50.340
103,50,24480376400,4,1,NULL,1,10524,2024-10-08 14:38:50.340
104,51,F-1542-2018,1,1,NULL,NULL,NULL,NULL
105,51,0000-0002-0738-9325,2,1,NULL,NULL,NULL,NULL
107,53,0000-0001-6040-0362,2,1,NULL,NULL,NULL,NULL
110,54,0000-0002-9495-5101,2,1,NULL,1,10527,2025-06-19 09:00:41.007
111,54,8P7sBqYAAAAJ,3,1,NULL,1,10527,2025-06-19 09:00:41.007
112,55,DXJ-5907-2022,1,1,NULL,NULL,NULL,NULL
113,55,0000-0002-6416-6603,2,1,NULL,NULL,NULL,NULL
114,57,U-9647-2018,1,1,NULL,1,12434,2024-10-09 13:08:36.687
115,57,0000-0002-9475-4035,2,1,NULL,1,12434,2024-10-09 13:08:36.687
117,58,0000-0003-2585-3686,2,1,NULL,NULL,NULL,NULL
118,59,S-3641-2017,1,1,NULL,NULL,NULL,NULL
119,59,0000-0002-8467-0743,2,1,NULL,NULL,NULL,NULL
120,60,B-5609-2013,1,1,NULL,NULL,NULL,NULL
121,62,AFB-2091-2022,1,1,NULL,NULL,NULL,NULL
122,62,0000-0003-1084-4189,2,1,NULL,NULL,NULL,NULL
123,63,0000-0003-4310-2747,2,1,NULL,NULL,NULL,NULL
124,64,J-8058-2018,1,1,NULL,NULL,NULL,NULL
125,64,0000-0002-4901-7554,2,1,NULL,NULL,NULL,NULL
127,66,0000-0001-7146-0205,2,1,NULL,NULL,NULL,NULL
128,68,0000-0003-3218-8258,2,1,NULL,NULL,NULL,NULL
130,69,0000-0002-9810-2640,2,1,NULL,NULL,NULL,NULL
131,69,6603398241,4,1,NULL,NULL,NULL,NULL
132,73,U-6305-2018,1,1,NULL,NULL,NULL,NULL
