AddressId,HitId,addr_no,city,country,full_address
1,1456,1,Adana,Turkey,"Cukurova Univ, Dept Stat, Fac Sci & Letters, TR-01330 Adana, Turkey"
2,1457,1,Adana,Turkey,"Cukurova Univ, Fac Hlth Sci, Dept Obstet & Gynecol Nursing, TR-01330 Adana, Turkey"
3,1458,1,Adana,Turkey,"Cukurova Univ, Fac Med, Div Pediat Infect Dis, Dept Pediat, Adana, Turkey"
4,1459,1,Adana,Turkey,"Cukurova Univ, Fac Med, Dept Neonatol, Adana, Turkey"
5,1459,2,Adana,Turkey,"Blood Bank, Adana, Turkey"
6,1459,3,Adana,Turkey,"Cent Lab, Adana, Turkey"
7,1460,1,Annaba,Algeria,"Badji Mokhtar Annaba Univ, Lab Engn Surfaces, Annaba, Algeria"
8,1460,2,Adana,Turkey,"Cukurova Univ, Fac Sci & Arts, Chem Dept, TR-01330 Adana, Turkey"
9,1460,3,Tipasa,Algeria,"Ctr Sci & Tech Res Physicochem Anal, Tipasa, Algeria"
10,1461,1,Adana,Turkey,"Cukurova Univ, Fac Agr, Dept Anim Sci, TR-01330 Adana, Turkey"
11,1461,2,Adana,Turkey,"Cukurova Univ, Vocat Sch, Adana, Turkey"
12,1462,1,Adana,Turkey,"Univ Cukurova, Fac Agr, Dept Soil Sci & Plant Nutr, Adana, Turkey"
13,1463,1,Adana,Turkey,"Cukurova Univ, Fac Sci, Dept Math, Adana, Turkey"
14,1464,1,Adana,Turkey,"Cukurova Univ, Dept Econ, TR-01330 Adana, Turkey"
15,1464,2,Adana,Turkey,"Cukurova Univ, Vocat Sch, Adana, Turkey"
16,1465,1,Adana,Turkey,"Cukurova Univ, Dept Business Adm, Adana, Turkey"
17,1466,1,Adana,Turkey,"Cukurova Univ, Dept Math, Adana, Turkey"
18,1467,1,Adana,Turkey,"Univ Cukurova, Fac Agr, Dept Soil Sci & Plant Nutr, Adana, Turkey"
19,1468,1,Adana,Turkey,"Cukurova Univ, Dept Landscape Architecture, Fac Agr, TR-01330 Adana, Turkey"
20,1468,2,Adana,Turkey,"Adana Reg Directorate Forestry, Adana, Turkey"
21,1468,3,Ankara,Turkey,"Hacettepe Univ UKAM, Int Res Ctr Karst Water Resources, Ankara, Turkey"
22,1469,1,Adana,Turkey,"Univ Cukurova, Fac Agr, Dept Hort, TR-01330 Adana, Turkey"
23,1469,2,Gaziantep,Turkey,"Pistachio Res Inst, Gaziantep, Turkey"
24,1470,1,Adana,Turkey,"Cukurova Univ, Dept Landscape Architecture, TR-01330 Adana, Turkey"
25,1470,2,Bolu,Turkey,"Abant Izzet Baysal Univ, Dept Environm Engn, Bolu, Turkey"
26,1471,1,Adana,Turkey,"Univ Cukurova, Fac Agr, Dept Hort, Adana, Turkey"
27,1471,2,Gaziantep,Turkey,"Pistachio Res Inst, Gaziantep, Turkey"
28,1472,1,Adana,Turkey,"Univ Cukurova, Fac Agr, Dept Hort, TR-01330 Adana, Turkey"
29,1472,2,Gaziantep,Turkey,"Pistachio Res Inst, Gaziantep, Turkey"
30,1473,1,Sukabumi,Indonesia,"Nusaputra Univ, Dept Informat Syst, Sukabumi, Indonesia"
31,1473,2,Halberstadt,Germany,"Hsch Harz Appl Sci, Dept European Adm, Halberstadt, Germany"
32,1473,3,Adana,Turkey,"Cukurova Univ, Dept Business Adm, Adana, Turkey"
33,1474,1,Adana,Turkey,"Cukurova Univ, Fac Agr, Dept Hort, Adana, Turkey"
34,1474,2,Denizli,Turkey,"Pamukkale Univ, Plant Genet & Agr Biotechnol Applicat & Res Ctr P, Denizli, Turkey"
35,1474,3,Denizli,Turkey,"Pamukkale Univ Kinikli, Dept Sci & Math, Denizli, Turkey"
36,1474,4,Denizli,Turkey,"Pamukkale Univ Kinikli, Dept Biol, Denizli, Turkey"
37,1475,1,Adana,Turkey,"Cukurova Univ, Dept Agr Struct & Irrigat Engn, Adana, Turkey"
38,1475,2,Adana,Turkey,"State Hydraul Works, 6th Reg Directorate, Adana, Turkey"
39,1476,1,Ankara,Turkey,"Gen Directorate Mineral Res & Explorat, Dept Mineral Res & Explorat, Ankara, Turkey"
40,1476,2,Adana,Turkey,"Cukurova Univ, Dept Geol Engn, Fac Engn, Adana, Turkey"
41,1477,1,Mersin,Turkey,"Alata Hort Res Inst, Mersin, Turkey"
42,1477,2,Adana,Turkey,"Univ Cukurova, Fac Agr, Dept Hort, TR-01330 Adana, Turkey"
43,1477,3,Diyarbakir,Turkey,"GAP Int Agr Res Training Ctr, Diyarbakir, Turkey"
44,1478,1,Kyoto,Japan,"Kyoto Univ, Grad Sch Global Environm Studies, Sakyo Ku, Yoshida Honmachi, Kyoto 6068501, Japan"
45,1478,2,Kobe,Japan,"Kobe Univ, Grad Sch Agr Sci, Nada Ku, 1-1 Rokkodai, Kobe, Hyogo, Japan"
46,1478,3,Adana,Turkey,"Cukurova Univ, Dept Agr Struct & Irrigat Engn, Adana, Turkey"
47,1478,4,Adana,Turkey,"Cukurova Univ, Dept Soil Sci & Plant Nutr, Adana, Turkey"
48,1479,1,Nevsehir,Turkey,"Univ Nevsehir Haci Bektas Veli, Nevsehir, Turkey"
49,1479,2,Adiyaman,Turkey,"Adiyaman Univ, Adiyaman, Turkey"
50,1479,3,Adana,Turkey,"Univ Cukurova, Adana, Turkey"
51,1480,1,Adana,Turkey,"Cukurova Univ, Dept Agr Struct & Irrigat Engn, TR-01330 Adana, Turkey"
52,1480,2,Antakya,Turkey,"Mustafa Kemal Univ, Dept Soil Sci, Fac Agr, Antakya, Turkey"
53,1480,3,Tottori,Japan,"Tottori Univ, Arid Land Res Ctr, Tottori, Japan"
54,1480,4,Adana,Turkey,"Cukurova Univ, Dept Field Crops, Fac Agr, Adana, Turkey"
55,1481,1,Antakya,Turkey,"Mustafa Kemal Univ, Dept Soil Sci & Plant Nutr, Antakya, Turkey"
56,1481,2,Kyoto,Japan,"Kyoto Univ, Reg Planning Grad Sch Global Environm Studies, Kyoto, Japan"
57,1481,3,Adana,Turkey,"Cukurova Univ, Dept Soil Sci & Plant Nutr, Adana, Turkey"
58,1482,1,Tottori,Japan,"Tottori Univ, Forest Ecol & Ecosyst Management Lab, Fac Agr, Tottori 6808553, Japan"
59,1482,2,Tottori,Japan,"Tottori Univ, Arid Land Res Ctr, Tottori, Japan"
60,1482,3,Kyoto,Japan,"Kyoto Univ, Field Sci Educ & Res Ctr, Kyoto, Japan"
61,1482,4,Adana,Turkey,"Cukurova Univ, Dept Landscape Architecture, Fac Agr, Adana, Turkey"
62,1483,1,Adana,Turkey,"Univ Cukurova, Fac Agr, Dept Hort, TR-01330 Adana, Turkey"
63,1483,2,Samsun,Turkey,"Univ Ondokuz Mayis, Fac Agr, Dept Hort, TR-55101 Samsun, Turkey"
64,1483,3,Izmir,Turkey,"Univ Ege, Fac Agr, Dept Hort, TR-35040 Izmir, Turkey"
65,1483,4,Adana,Turkey,"Univ Cukurova, Inst Nat & Appl Sci, Dept Biotechnol, TR-01330 Adana, Turkey"
66,1483,5,Bursa,Turkey,"Uludag Univ, Fac Sci & Art, Dept Biol, TR-16059 Bursa, Turkey"
67,1484,1,Chicago,USA,"Univ Illinois, Chicago, IL 60680 USA"
68,1484,2,Kyoto,Japan,"Kyoto Univ, Agr Econ, Fushimi Ku, 104-1 Higashianshincho, Kyoto 6120832, Japan"
69,1484,3,Adana,Turkey,"Cukurova Univ, Dept Agr Econ, Adana, Turkey"
70,1485,1,Uji,Japan,"Kyoto Univ, Disaster Prevent Res Inst, Uji, Kyoto 6110011, Japan"
71,1485,2,Nonoichi,Japan,"Ishikawa Prefectural Univ, 1-308 Suematsu, Nonoichi, Ishikawa 9218836, Japan"
72,1485,3,Adana,Turkey,"Cukurova Univ, Dept Agr Construct & Irrigat, Fac Agr, Adana, Turkey"
73,1485,4,London,Canada,"Univ Western Ontario, Dept Civil & Environm Engn Program, 1151 Richmond St, London, ON N6A 3K7, Canada"
74,1486,1,Konya,Turkey,"Selcuk Univ, Dept Geol Engn, Konya, Turkey"
75,1486,2,Canakkale,Turkey,"Canakkale 18 Mart Univ, Dept Geol Engn, Canakkale, Turkey"
76,1486,3,Konya,Turkey,"DSI 4 Reg Directory, Konya, Turkey"
