OrgId,AddressId,Contenta,isSubOrg
1,1,Cukurova Univ,0
2,1,Cukurova University,0
3,2,Cukurova Univ,0
4,2,Cukurova University,0
5,3,Cukurova Univ,0
6,3,Cukurova University,0
7,3,Cukurova University Faculty of Medicine,0
8,4,Cukurova Univ,0
9,4,Cukurova University,0
10,4,Cukurova University Faculty of Medicine,0
11,5,Blood Bank,0
12,6,Cent Lab,0
13,7,Badji Mokhtar Annaba Univ,0
14,7,Universite Badji Mokhtar - Annaba,0
15,8,Cukurova Univ,0
16,8,Cukurova University,0
17,9,Ctr Sci & Tech Res Physicochem Anal,0
18,10,Cukurova Univ,0
19,10,Cukurova University,0
20,10,Cukurova University Faculty of Agriculture,0
21,11,Cukurova Univ,0
22,11,Cukurova University,0
23,12,Univ Cukurova,0
24,12,Cukurova University,0
25,12,Cukurova University Faculty of Agriculture,0
26,13,Cukurova Univ,0
27,13,Cukurova University,0
28,14,Cukurova Univ,0
29,14,Cukurova University,0
30,15,Cukurova Univ,0
31,15,Cukurova University,0
32,16,Cukurova Univ,0
33,16,Cukurova University,0
34,17,Cukurova Univ,0
35,17,Cukurova University,0
36,18,Univ Cukurova,0
37,18,Cukurova University,0
38,18,Cukurova University Faculty of Agriculture,0
39,19,Cukurova Univ,0
40,19,Cukurova University,0
41,19,Cukurova University Faculty of Agriculture,0
42,19,Cukurova University Faculty of Agriculture,0
43,19,Cukurova University Department of Landscape Architecture,0
44,20,Adana Reg Directorate Forestry,0
45,21,Hacettepe Univ UKAM,0
46,22,Univ Cukurova,0
47,22,Cukurova University,0
48,22,Cukurova University Faculty of Agriculture,0
49,23,Pistachio Res Inst,0
50,23,"Ministry of Food, Agriculture & Livestock - Turkey",0
51,24,Cukurova Univ,0
52,24,Cukurova University,0
53,24,Cukurova University Faculty of Agriculture,0
54,24,Cukurova University Department of Landscape Architecture,0
55,25,Abant Izzet Baysal Univ,0
56,25,Abant Izzet Baysal University,0
57,26,Univ Cukurova,0
58,26,Cukurova University,0
59,26,Cukurova University Faculty of Agriculture,0
60,27,Pistachio Res Inst,0
61,27,"Ministry of Food, Agriculture & Livestock - Turkey",0
62,28,Univ Cukurova,0
63,28,Cukurova University,0
64,28,Cukurova University Faculty of Agriculture,0
65,29,Pistachio Res Inst,0
66,29,"Ministry of Food, Agriculture & Livestock - Turkey",0
67,30,Nusaputra Univ,0
68,31,Hsch Harz Appl Sci,0
69,32,Cukurova Univ,0
70,32,Cukurova University,0
71,33,Cukurova Univ,0
72,33,Cukurova University,0
73,33,Cukurova University Faculty of Agriculture,0
74,34,Pamukkale Univ,0
75,34,Pamukkale University,0
76,35,Pamukkale Univ Kinikli,0
77,35,Pamukkale University,0
78,36,Pamukkale Univ Kinikli,0
79,36,Pamukkale University,0
80,37,Cukurova Univ,0
81,37,Cukurova University,0
82,38,State Hydraul Works,0
83,38,Ministry of Forestry & Water Affairs - Turkey,0
84,38,Devlet Su Isleri (DSI),0
85,39,Gen Directorate Mineral Res & Explorat,0
86,39,Ministry of Energy & Natural Resources - Turkey,0
87,39,Maden Tetkik ve Arama (MTA) - Turkey,0
88,40,Cukurova Univ,0
89,40,Cukurova University,0
90,41,Alata Hort Res Inst,0
91,41,"Ministry of Food, Agriculture & Livestock - Turkey",0
92,42,Univ Cukurova,0
93,42,Cukurova University,0
94,42,Cukurova University Faculty of Agriculture,0
95,43,GAP Int Agr Res Training Ctr,0
96,44,Kyoto Univ,0
97,44,Kyoto University,0
98,44,Kyoto University Hall of Global Environmental Research,0
99,45,Kobe Univ,0
100,45,Kobe University,0
101,45,Kobe University Faculty of Agriculture Graduate School of Agricultural Science,0
102,46,Cukurova Univ,0
103,46,Cukurova University,0
104,47,Cukurova Univ,0
105,47,Cukurova University,0
106,48,Univ Nevsehir Haci Bektas Veli,0
107,48,Nevsehir Haci Bektas Veli University,0
108,49,Adiyaman Univ,0
109,49,Adiyaman University,0
110,50,Univ Cukurova,0
111,50,Cukurova University,0
112,51,Cukurova Univ,0
113,51,Cukurova University,0
114,52,Mustafa Kemal Univ,0
115,52,Mustafa Kemal University,0
116,53,Tottori Univ,0
117,53,Tottori University,0
118,54,Cukurova Univ,0
119,54,Cukurova University,0
120,54,Cukurova University Faculty of Agriculture,0
121,55,Mustafa Kemal Univ,0
122,55,Mustafa Kemal University,0
123,56,Kyoto Univ,0
124,56,Kyoto University,0
125,57,Cukurova Univ,0
126,57,Cukurova University,0
127,58,Tottori Univ,0
128,58,Tottori University,0
129,58,Tottori University Graduate School of Agriculture Faculty of Agriculture,0
130,59,Tottori Univ,0
131,59,Tottori University,0
132,60,Kyoto Univ,0
133,60,Kyoto University,0
134,60,Kyoto University Field Science Education and Research Center,0
135,61,Cukurova Univ,0
136,61,Cukurova University,0
137,61,Cukurova University Faculty of Agriculture,0
138,61,Cukurova University Faculty of Agriculture,0
139,61,Cukurova University Department of Landscape Architecture,0
140,62,Univ Cukurova,0
141,62,Cukurova University,0
142,62,Cukurova University Faculty of Agriculture,0
143,63,Univ Ondokuz Mayis,0
144,63,Ondokuz Mayis University,0
145,63,Ondokuz Mayis University Faculty of Agriculture,0
146,64,Univ Ege,0
147,64,Ege University,0
148,64,Ege University Faculty of Agriculture,0
149,64,Ege University Department of Horticulture,0
150,64,Ege University Faculty of Agriculture,0
151,65,Univ Cukurova,0
152,65,Cukurova University,0
153,66,Uludag Univ,0
154,66,Uludag University,0
155,67,Univ Illinois,0
156,67,University of Illinois System,0
157,67,University of Illinois Chicago,0
158,67,University of Illinois Chicago Hospital,0
159,68,Kyoto Univ,0
160,68,Kyoto University,0
161,69,Cukurova Univ,0
162,69,Cukurova University,0
163,70,Kyoto Univ,0
164,70,Kyoto University,0
165,70,Kyoto University Disaster Prevention Research Institute,0
166,71,Ishikawa Prefectural Univ,0
167,71,Ishikawa Prefectural University,0
168,72,Cukurova Univ,0
169,72,Cukurova University,0
170,72,Cukurova University Faculty of Agriculture,0
171,73,Univ Western Ontario,0
172,73,Western University (University of Western Ontario),0
173,74,Selcuk Univ,0
174,74,Selcuk University,0
175,75,Canakkale 18 Mart Univ,0
176,75,Canakkale Onsekiz Mart University,0
177,76,DSI 4 Reg Directory,0
178,77,Selcuk Univ,0
179,77,Selcuk University,0
180,77,Sel?uk University Faculty of Science,0
181,77,Sel?uk University Department of Physics,0
182,78,Selcuk Univ,0
183,78,Selcuk University,0
184,79,Dokuz Eylul Univ,0
185,79,Dokuz Eylul University,0
186,79,Dokuz Eylul University Buca Faculty of Education,0
187,79,Dokuz Eylul University Department of Physics Education,0
188,80,Cukurova Univ,0
189,80,Cukurova University,0
190,81,Eskisehir Osmangazi Univ,0
191,81,Eskisehir Osmangazi University,0
192,81,Eskisehir Osmangazi University Faculty of Medicine,0
193,82,Dokuz Eylul Univ,0
194,82,Dokuz Eylul University,0
195,82,Dokuz Eylul University Faculty of Medicine,0
196,83,Erciyes Univ,0
197,83,Erciyes University,0
198,83,Erciyes University School of Medicine,0
199,84,Ege Univ,0
200,84,Ege University,0
201,84,Ege University Faculty of Medicine,0
202,84,Ege University Faculty of Medicine,0
203,84,Ege University Department of Internal Medicine,0
204,85,Hacettepe Univ,0
205,85,Hacettepe University,0
206,86,Marmara Univ,0
207,86,Marmara University,0
208,86,Marmara University School of Medicine,0
209,87,Cukurova Univ,0
210,87,Cukurova University,0
211,87,Cukurova University Faculty of Medicine,0
212,87,Cukurova University Faculty of Medicine,0
213,87,Cukurova University Department of Internal Medicine,0
214,88,Gulhane Mil Med Acad,0
215,88,Gulhane Military Medical Academy,0
216,89,Adana Numune Training & Res Hosp,0
217,89,Ankara Numune Training & Research Hospital,0
218,89,Adana Numune Training & Research Hospital,0
219,90,Selcuk Univ,0
220,90,Selcuk University,0
221,90,Sel?uk University Faculty of Medicine,0
222,91,Sisli Etfal Training & Res Hosp,0
223,91,Istanbul Sisli Hamidiye Etfal Training & Research Hospital,0
224,92,Gaziantep Univ,0
225,92,Gaziantep University,0
226,93,Abant Izzet Baysal Univ,0
227,93,Abant Izzet Baysal University,0
228,93,Bolu Abant ?zzet Baysal University Faculty of Medicine,0
229,94,Kahramanmaras Sutcu Imam Univ,0
230,94,Kahramanmaras Sutcu Imam University,0
231,94,Kahramanmaras Sutcu Imam University Faculty of Medicine,0
232,95,Ankara Numune Training & Res Hosp,0
233,95,Ankara Numune Training & Research Hospital,0
234,96,Eskisehir Osmangazi Univ,0
235,96,Eskisehir Osmangazi University,0
236,96,Eskisehir Osmangazi University Faculty of Medicine,0
237,97,Univ Cukurova,0
238,97,Cukurova University,0
239,97,Cukurova University Faculty of Agriculture,0
240,98,Ataturk Univ,0
241,98,Ataturk University,0
242,98,Ataturk University Faculty of Agriculture,0
243,99,Cukurova Univ,0
244,99,Cukurova University,0
245,100,Al Aqsa Univ,0
246,100,Al-Aqsa University,0
247,101,Imam Abdulrahman Bin Faisal Univ,0
248,101,Imam Abdulrahman Bin Faisal University,0
249,101,Imam Abdulrahman Bin Faisal University College of Science,0
250,102,Imam Abdulrahman Bin Faisal Univ,0
251,102,Imam Abdulrahman Bin Faisal University,0
252,102,Imam Abdulrahman Bin Faisal University Institute for Research and Medical Consultations,0
253,103,Imam Abdulrahman Bin Faisal Univ,0
254,103,Imam Abdulrahman Bin Faisal University,0
255,103,Imam Abdulrahman Bin Faisal University Institute for Research and Medical Consultations,0
256,104,Suleyman Demirel Univ,0
257,104,Suleyman Demirel University,0
258,104,Suleyman Demirel University Faculty of Engineering,0
259,105,NAS Belarus,0
260,105,National Academy of Sciences of Belarus (NASB),0
261,105,Scientific & Practical Materials Research Centre of the National Academy of Sciences of Belarus,0
262,106,Bolu Abanat Izzet Baysal Univ,0
263,107,Cukurova Univ,0
264,107,Cukurova University,0
265,108,Bulent Ecevit Univ,0
266,108,Zonguldak Bulent Ecevit University,0
267,108,Zonguldak B?lent Ecevit University Faculty of Medicine,0
268,109,Cukurova Univ,0
269,109,Cukurova University,0
270,109,Cukurova University Faculty of Medicine,0
271,110,Bulent Ecevit Univ,0
272,110,Zonguldak Bulent Ecevit University,0
273,110,Zonguldak B?lent Ecevit University Faculty of Medicine,0
274,111,Ankara Univ,0
275,111,Ankara University,0
276,111,Ankara University Faculty of Medicine,0
277,112,Adana City Hosp,0
278,112,Cukurova University,0
279,113,Mugla Sitki Kocman Univ,0
280,113,Mugla Sitki Kocman University,0
281,114,Cukurova Univ,0
282,114,Cukurova University,0
283,114,Cukurova University Faculty of Medicine,0
284,115,Gaziantep Med Pk Hosp,0
285,116,Adana Numune Training & Res Hosp,0
286,116,Adana Numune Training & Research Hospital,0
287,116,Ankara Numune Training & Research Hospital,0
288,117,Hlth Sci Univ,0
289,117,University of Health Sciences Turkey,0
290,117,Adana Numune Training & Research Hospital,0
291,117,SBU Adana City Training and Research Hospital,0
292,118,Hlth Sci Univ,0
293,118,Cukurova University,0
294,118,Adana Numune Training & Research Hospital,0
295,118,University of Health Sciences Turkey,0
296,118,SBU Adana City Training and Research Hospital,0
297,119,Acibadem Univ,0
298,119,Acibadem University,0
299,119,Adana State Hospital,0
300,120,Cukurova Univ,0
301,120,Cukurova University,0
302,121,Cukurova Univ,0
303,121,Cukurova University,0
304,121,Cukurova University Faculty of Medicine,0
305,122,Cukurova Univ,0
306,122,Cukurova University,0
307,123,Girne Amer Univ,0
308,123,Girne American University,0
309,124,Cukurova Univ,0
310,124,Cukurova University,0
311,125,Cukurova Univ,0
312,125,Cukurova University,0
313,125,Cukurova University Faculty of Medicine,0
314,125,Cukurova University Department of Internal Medicine,0
315,125,Cukurova University Department of Pediatric Oncology,0
316,125,Cukurova University Faculty of Medicine,0
317,126,Cukurova Univ,0
318,126,Cukurova University,0
319,126,Cukurova University Faculty of Medicine,0
320,127,Mehmet Akif Inan Training & Res Hosp,0
321,127,Sanliurfa Mehmet Akif Inan Training & Research Hospital,0
322,128,Gaziantep Univ,0
323,128,Gaziantep University,0
324,129,Cukurova Univ,0
325,129,Cukurova University,0
326,129,Cukurova University Faculty of Medicine,0
327,130,Cukurova Univ,0
328,130,Cukurova University,0
329,131,Cukurova Univ,0
330,131,Cukurova University,0
331,132,Lomonosov Moscow State Univ,0
332,132,Lomonosov Moscow State University,0
333,133,IFW Dresden,0
334,133,Institute for Integrative Nanosciences (IIN),0
335,133,Leibniz Institute for Solid State & Materials Research Dresden,0
336,134,Univ Ibn Tofail,0
337,134,Ibn Tofail University of Kenitra,0
338,135,Univ Angers,0
339,135,Centre National de la Recherche Scientifique (CNRS),0
340,135,CNRS - Institute of Chemistry (INC),0
341,135,Universite d'Angers,0
342,136,Cukurova Univ,0
343,136,Cukurova University,0
344,137,Nicolaus Copernicus Univ,0
345,137,Nicolaus Copernicus University,0
346,138,Wroclaw Univ Sci & Technol,0
347,138,Wroclaw University of Science & Technology,0
348,139,Ege Univ,0
349,139,Ege University,0
350,139,Ege University Faculty of Medicine,0
351,140,Inonu Univ,0
352,140,Inonu University,0
353,141,Cukurova Univ,0
354,141,Cukurova University,0
355,142,Dokuz Eylul Univ Izmir,0
356,142,Dokuz Eylul University,0
357,143,Dicle Univ,0
358,143,Dicle University,0
359,144,Eskisehir Osmangazi Univ,0
360,144,Eskisehir Osmangazi University,0
361,145,Erciyes Univ,0
362,145,Erciyes University,0
363,146,Firat Univ,0
364,146,Firat University,0
365,147,Istanbul Mem Hosp,0
366,147,Memorial Healthcare Group,0
367,148,Hacettepe Univ,0
368,148,Hacettepe University,0
369,149,Ankara Univ,0
370,149,Ankara University,0
371,150,Istanbul Cerrahpasa Univ,0
372,150,Istanbul University - Cerrahpasa,0
373,151,Hatay Mustafa Kemal Univ,0
374,151,Mustafa Kemal University,0
375,152,Izmir Kent Hosp,0
376,152,Kent Hospital,0
377,153,Haydarpasa Sultan Abdulhamid Egitim Arastirma Hos,0
378,154,Konya Necmettin Erbakan Univ,0
379,154,Necmettin Erbakan University,0
380,155,Mersin Univ,0
381,155,Mersin University,0
382,156,Eskisehir Gazi Osman Pasa Univ,0
383,157,Mayis Univ,0
384,157,Ondokuz Mayis University,0
385,158,Adana City Hosp,0
386,159,Cukurova Univ,0
387,159,Cukurova University,0
388,160,Manisa Celal Bayar Univ,0
389,160,Celal Bayar University,0
390,161,Evliya Celebi Hosp,0
391,162,Baskent Univ,0
392,162,Baskent University,0
393,163,Baskent Univ,0
394,163,Cukurova University,0
395,163,Baskent University,0
396,164,Queen Mary Univ London,0
397,164,University of London,0
398,164,Queen Mary University London,0
399,164,Queen Mary University of London Faculty of Medicine and Dentistry,0
400,164,Queen Mary University of London Barts and The London School of Medicine and Dentistry,0
401,164,Barts and The London School of Medicine and Dentistry William Harvey Research Institute,0
402,165,UCL,0
403,165,University of London,0
404,165,University College London,0
