AuthorId,HitId,wosStandard,researcherId,ORCID,ord,Dogrulandi,DogrulayanPersonelRol_Id,DogrulamaZamani,Puan
1,1456,"Kuran, Ö",L-2391-2019,NULL,1,NULL,NULL,NULL,NULL
2,1456,"Özkale, MR",B-8163-2018,NULL,2,NULL,NULL,NULL,NULL
3,1458,"Gündeslioglu, ÖÖ",T-1959-2018,NULL,1,NULL,NULL,NULL,NULL
4,1459,"Özlü, F",E-7599-2018,NULL,1,NULL,NULL,NULL,22.50
5,1459,"Akçali, M",CBM-5105-2022,NULL,2,NULL,NULL,NULL,12.00
6,1459,"Yildiz, SM",KHG-3597-2024,NULL,3,NULL,NULL,NULL,12.00
7,1459,"Yildizdas, HY",GJX-7536-2022,NULL,4,NULL,NULL,NULL,12.00
8,1459,"Gözet, Y",JKX-9193-2023,NULL,5,NULL,NULL,NULL,NULL
9,1459,"Atay, A",ELP-0991-2022,NULL,6,NULL,NULL,NULL,NULL
10,1457,"Yikar, SK",GJA-6671-2022,NULL,1,NULL,NULL,NULL,72.00
11,1457,"Nazik, E",A-1392-2016,NULL,2,NULL,NULL,NULL,45.00
12,10297,"Küden, A",JIO-3415-2023,NULL,1,NULL,NULL,NULL,NULL
13,10297,"Küden, AB",ILQ-9189-2023,NULL,2,NULL,NULL,NULL,NULL
14,10297,"Imrak, B",K-5334-2018,NULL,3,NULL,NULL,NULL,NULL
15,10297,"Sarier, A",IHU-4396-2023,NULL,4,NULL,NULL,NULL,NULL
16,2632,"Sönmezer, D",DTC-9932-2022,NULL,1,NULL,NULL,NULL,NULL
17,2632,"Latifoglu, F",AAM-1383-2021,NULL,2,NULL,NULL,NULL,NULL
18,2632,"Toprak, G",AAM-3007-2021,NULL,3,NULL,NULL,NULL,NULL
19,2632,"Düzler, A",A-4406-2016,NULL,4,NULL,NULL,NULL,NULL
20,1471,"Paizila, A",IFL-0858-2023,NULL,1,NULL,NULL,NULL,NULL
21,1471,"Kafkas, S",AAG-9045-2020,NULL,2,NULL,NULL,NULL,NULL
22,1471,"Ziya-Motalebipour, E",ABG-3915-2021,NULL,3,NULL,NULL,NULL,NULL
23,1471,"Acar, I",W-2551-2017,NULL,4,NULL,NULL,NULL,NULL
24,1471,"Turemis, N",JIU-6810-2023,NULL,5,NULL,NULL,NULL,NULL
25,1479,"Oguz, HI",AAF-6968-2021,NULL,1,NULL,NULL,NULL,NULL
26,1479,"Gökdogan, O",JML-8736-2023,NULL,2,NULL,NULL,NULL,NULL
27,1479,"Baran, MF",AAV-9191-2020,NULL,3,NULL,NULL,NULL,NULL
28,1479,"Oguz, I",DKR-4189-2022,NULL,4,NULL,NULL,NULL,NULL
29,1483,"Sevindik, B",KHW-6684-2024,NULL,1,NULL,NULL,NULL,NULL
30,1483,"Tütüncü, M",CAH-9543-2022,NULL,2,NULL,NULL,NULL,NULL
31,1483,"Izgü, T",CWS-2242-2022,NULL,3,NULL,NULL,NULL,NULL
32,1483,"Tagipur, EM",DYB-8380-2022,NULL,4,NULL,NULL,NULL,NULL
33,1483,"Çürük, P",JHR-4304-2023,NULL,5,NULL,NULL,NULL,NULL
34,1483,"Kaynak, G",FCS-4874-2022,NULL,6,NULL,NULL,NULL,NULL
35,1483,"Yilmaz, Ö",KHZ-8294-2024,NULL,7,NULL,NULL,NULL,NULL
36,1483,"Mendi, YY",DFA-6648-2022,NULL,8,NULL,NULL,NULL,NULL
37,1469,"Khodaeiaminjan, M",HUD-0400-2023,NULL,1,NULL,NULL,NULL,NULL
38,1469,"Kafkas, S",AAG-9045-2020,NULL,2,NULL,NULL,NULL,NULL
39,1469,"Ziya-Motalebipour, E",ABG-3915-2021,NULL,3,NULL,NULL,NULL,NULL
40,1469,"Çoban, N",JJY-9517-2023,NULL,4,NULL,NULL,NULL,NULL
41,1469,"Gozel, H",EWS-1773-2022,NULL,5,NULL,NULL,NULL,NULL
42,1472,"Ziya-Motalebipour, E",ABG-3915-2021,NULL,1,NULL,NULL,NULL,NULL
43,1472,"Kafkas, S",AAG-9045-2020,NULL,2,NULL,NULL,NULL,NULL
44,1472,"Khodaeiaminjan, M",HUD-0400-2023,NULL,3,NULL,NULL,NULL,NULL
45,1472,"Çoban, N",CKC-7691-2022,NULL,4,NULL,NULL,NULL,NULL
46,1472,"Gozel, H",EWS-1773-2022,NULL,5,NULL,NULL,NULL,NULL
47,1477,"Erçik, K",EUG-3635-2022,NULL,1,NULL,NULL,NULL,NULL
48,1477,"Kafkas, E",DXP-9732-2022,NULL,2,NULL,NULL,NULL,NULL
49,1477,"Kaya, M",HXP-7188-2023,NULL,3,NULL,NULL,NULL,NULL
50,1477,"Çelik, K",JLF-9171-2023,NULL,4,NULL,NULL,NULL,NULL
51,1477,"Opanoglu, N",HXI-2468-2023,NULL,5,NULL,NULL,NULL,NULL
52,1477,"Saridas, MA",AFU-5425-2022,NULL,6,NULL,NULL,NULL,NULL
53,1477,"Özcan, H",JKS-4140-2023,NULL,7,NULL,NULL,NULL,NULL
54,1474,"Alan, S",EKY-7130-2022,NULL,1,NULL,NULL,NULL,NULL
55,1474,"Düzgün, F",EUT-2267-2022,NULL,2,NULL,NULL,NULL,NULL
56,1474,"Kaska, A",FDF-2941-2022,NULL,3,NULL,NULL,NULL,NULL
57,1474,"Celebi-Toprak, F",CIM-9078-2022,NULL,4,NULL,NULL,NULL,NULL
58,1474,"Alan, AR",AAC-4804-2020,NULL,5,NULL,NULL,NULL,NULL
59,1467,"Ortas, I",D-3971-2012,NULL,1,NULL,NULL,NULL,NULL
60,1462,"Ortas, I",D-3971-2012,NULL,1,NULL,NULL,NULL,NULL
61,2795,"Abed, M",DSX-0483-2022,NULL,1,NULL,NULL,NULL,NULL
62,2795,"Ibrikçi, T",HZL-0937-2023,NULL,2,NULL,NULL,NULL,NULL
63,1484,"Tsujii, H",CDG-1886-2022,NULL,1,NULL,NULL,NULL,NULL
64,1484,"Gültekin, U",JJA-1834-2023,NULL,2,NULL,NULL,NULL,NULL
65,1482,"Sano, J",DOV-3497-2022,NULL,1,NULL,NULL,NULL,NULL
66,1482,"Tamai, S",CBW-4725-2022,NULL,2,NULL,NULL,NULL,NULL
67,1482,"Ando, M",GDK-7778-2022,NULL,3,NULL,NULL,NULL,NULL
