YoksisId,Ad,KisaAd,Tur,UstYoksisId,Durum,AdIng,EnumBirimTuru,THE,QS,IliskiliYoksisId
107211,ÇUKUROVA ÜNİVERSİTESİ,"Ç.ÜNİ. ",Üniversite,0,Aktif,CUKUROVA UNIVERSITY,1,NULL,NULL,0
107212,TIP FAKÜLTESİ,TIP FAKÜL,Fakülte,107211,Aktif,SCHOOL OF MEDICINE,2,102,NULL,0
107213,CERRAHİ TIP BİLİMLERİ BÖLÜMÜ,CERRAHİ T,Bölüm,107212,Aktif,DEPARTMENT OF SURGICAL MEDICINE,10,102,NULL,0
107214,ANESTEZİYOLOJİ ANABİLİM DALI,ANESTEZİY,Anabilim Dalı,107213,Aktif,DEPARTMENT OF ANAESTHESIOLOGY,11,102,NULL,0
107215,ÇOCUK CERRAHİSİ ANABİLİM DALI,ÇOCUK CER,Anabilim Dalı,107213,Aktif,DEPARTMENT OF PEDIATRIC SURGERY,11,102,NULL,0
107216,GENEL CERRAHİ ANABİLİM DALI,GENEL CER,Anabilim Dalı,107213,Aktif,DEPARTMENT OF GENERAL SURGERY,11,102,NULL,0
107217,GÖZ HASTALIKLARI ANABİLİM DALI,GÖZ HASTA,Anabilim Dalı,107213,Aktif,DEPARTMENT OF EYE DISEASES,11,102,NULL,0
107218,KADIN HASTALIKLARI VE DOĞUM ANABİLİM DALI,KADIN HAS,Anabilim Dalı,107213,Aktif,DEPARTMENT OF OBSTETRICS AND GYNECOLOGY,11,102,NULL,0
107219,"KULAK, BURUN, BOĞAZ HASTALIKLARI ANABİLİM DALI","KULAK, BU",Anabilim Dalı,107213,Aktif,"DEPARTMENT OF EAR, NOSE AND THROAT DISEASES",11,102,NULL,0
107220,NÖROŞİRURJİ ANABİLİM DALI,NÖROŞİRUR,Anabilim Dalı,107213,Kapatılmış,DEPARTMENT OF NEUROSURGERY,11,102,NULL,0
107221,ORTOPEDİ VE TRAVMATOLOJİ ANABİLİM DALI,"ORTOPEDİ ",Anabilim Dalı,107213,Aktif,DEPARTMENT OF ORTHOPEDICS AND TRAUMATOLOGY,11,102,NULL,0
107222,PATOLOJİ ANABİLİM DALI,"PATOLOJİ ",Anabilim Dalı,107213,Aktif,DEPARTMENT OF PATHOLOGY,11,102,NULL,0
107223,PLASTİK VE REKONSTRÜKTİF CERRAHİ ANABİLİM DALI,PLASTİK V,Anabilim Dalı,107213,Kapatılmış,DEPARTMENT OF PLASTIC AND RECONSTRUCTIVE SURGERY,11,102,NULL,0
107224,ÜROLOJİ ANABİLİM DALI,ÜROLOJİ A,Anabilim Dalı,107213,Aktif,DEPARTMENT OF UROLOGY,11,102,NULL,0
107225,GÖĞÜS CERRAHİSİ ANABİLİM DALI,GÖĞÜS CER,Anabilim Dalı,107213,Aktif,DEPARTMENT OF THORACIC SURGERY (MEDICINE),11,102,NULL,0
107226,KALP VE DAMAR CERRAHİSİ ANABİLİM DALI,KALP VE D,Anabilim Dalı,107213,Aktif,DEPARTMENT OF CARDIOVASCULAR SURGERY,11,102,NULL,0
107227,ACİL TIP ANABİLİM DALI,"ACİL TIP ",Anabilim Dalı,107213,Aktif,DEPARTMENT OF EMERGENCY MEDICINE,11,102,NULL,0
107228,DAHİLİ TIP BİLİMLERİ BÖLÜMÜ,DAHİLİ TI,Bölüm,107212,Aktif,DEPARTMENT OF INTERNAL MEDICINE,10,102,NULL,0
107229,ADLİ TIP ANABİLİM DALI,"ADLİ TIP ",Anabilim Dalı,107228,Aktif,DEPARTMENT OF FORENSIC MEDICINE,11,102,NULL,0
107230,ÇOCUK SAĞLIĞI VE HASTALIKLARI ANABİLİM DALI,ÇOCUK SAĞ,Anabilim Dalı,107228,Aktif,DEPARTMENT OF PEDIATRICS,11,102,NULL,0
107231,DERMATOLOJİ ANABİLİM DALI,DERMATOLO,Anabilim Dalı,107228,Kapatılmış,DEPARTMENT OF DERMATOLOGY,11,102,NULL,0
107232,FARMAKOLOJİ ANABİLİM DALI,FARMAKOLO,Anabilim Dalı,107228,Kapatılmış,DEPARTMENT OF PHARMACOLOGY,11,NULL,NULL,0
107233,FİZİKSEL TIP VE REHABİLİTASYON ANABİLİM DALI,"FİZİKSEL ",Anabilim Dalı,107228,Kapatılmış,DEPARTMENT OF PHYSICAL MEDICINE AND REHABILITATION,11,NULL,NULL,0
107234,HALK SAĞLIĞI ANABİLİM DALI,HALK SAĞL,Anabilim Dalı,107228,Aktif,DEPARTMENT OF PUBLIC HEALTH,11,102,NULL,0
107235,İÇ HASTALIKLARI ANABİLİM DALI,İÇ HASTAL,Anabilim Dalı,107228,Aktif,DEPARTMENT OF INTERNAL MEDICINE (MEDICINE),11,102,NULL,0
107236,NÖROLOJİ ANABİLİM DALI,"NÖROLOJİ ",Anabilim Dalı,107228,Aktif,"DEPARTMENT OF NEUROLOGY
",11,102,NULL,0
107237,NÜKLEER TIP ANABİLİM DALI,NÜKLEER T,Anabilim Dalı,107228,Aktif,DEPARTMENT OF NUCLEAR MEDICINE,11,102,NULL,0
107238,PSİKİYATRİ ANABİLİM DALI,PSİKİYATR,Anabilim Dalı,107228,Aktif,DEPARTMENT OF PSYCHIATRY,11,102,NULL,0
107239,AİLE HEKİMLİĞİ ANABİLİM DALI,AİLE HEKİ,Anabilim Dalı,107228,Aktif,DEPARTMENT OF FAMILY MEDICINE,11,102,NULL,0
107240,GÖĞÜS HASTALIKLARI ANABİLİM DALI,GÖĞÜS HAS,Anabilim Dalı,107228,Aktif,DEPARTMENT OF PULMONOLOGY,11,102,NULL,0
107241,RADYASYON ONKOLOJİSİ ANABİLİM DALI,RADYASYON,Anabilim Dalı,107228,Aktif,DEPARTMENT OF RADIATION ONCOLOGY,11,102,NULL,0
107242,RADYODİAGNOSTİK ANABİLİM DALI,RADYODİAG,Anabilim Dalı,107228,Aktif,DEPARTMENT OF RADIODIAGNOSTICS (MEDICINE),11,102,NULL,0
107243,KARDİYOLOJİ ANABİLİM DALI,KARDİYOLO,Anabilim Dalı,107228,Aktif,DEPARTMENT OF CARDIOLOGY,11,102,NULL,0
107244,ÇOCUK RUH SAĞLIĞI VE HASTALIKLARI ANABİLİM DALI,ÇOCUK RUH,Anabilim Dalı,107228,Kapatılmış,DEPARTMENT OF PEDIATRIC MENTAL HEALTH AND DISEASES,11,NULL,NULL,0
107245,ACİL TIP ANABİLİM DALI,"ACİL TIP ",Anabilim Dalı,107228,Aktif,DEPARTMENT OF EMERGENCY MEDICINE,11,102,NULL,0
107246,TIP EĞİTİMİ ANABİLİM DALI,TIP EĞİTİ,Anabilim Dalı,107249,Kapatılmış,DEPARTMENT OF MEDICAL EDUCATION,11,102,NULL,0
107247,ENFEKSİYON HASTALIKLARI VE KLİNİK MİKROBİYOLOJİ ANABİLİM DALI,ENFEKSİYO,Anabilim Dalı,107228,Aktif,DEPARTMENT OF INFECTIOUS DISEASES AND CLINICAL MICROBIOLOGY,11,102,NULL,0
107248,ÇOCUK PSİKİYATRİSİ ANABİLİM DALI,ÇOCUK PSİ,Anabilim Dalı,107228,Aktif,DEPARTMENT OF PEDIATRIC PSYCHIATRY,11,111,NULL,0
107249,TEMEL TIP BİLİMLERİ BÖLÜMÜ,TEMEL TIP,Bölüm,107212,Aktif,DEPARTMENT OF BASIC MEDICAL SCIENCES (MEDICINE),10,102,NULL,0
107250,BİYOKİMYA ANABİLİM DALI,BİYOKİMYA,Anabilim Dalı,107249,Kapatılmış,DEPARTMENT OF BIOCHEMISTRY (MEDICINE),11,NULL,NULL,0
107251,DEONTOLOJİ ANABİLİM DALI,DEONTOLOJ,Anabilim Dalı,107249,Kapatılmış,DEPARTMENT OF DEONTOLOGY,11,NULL,NULL,0
107252,FİZYOLOJİ ANABİLİM DALI,FİZYOLOJİ,Anabilim Dalı,107249,Aktif,DEPARTMENT OF PHYSIOLOGY (MEDICINE),11,102,NULL,0
107253,MİKROBİYOLOJİ ANABİLİM DALI,MİKROBİYO,Anabilim Dalı,107249,Kapatılmış,DEPARTMENT OF MICROBIOLOGY (MEDICINE),11,NULL,NULL,0
107254,PARAZİTOLOJİ ANABİLİM DALI,PARAZİTOL,Anabilim Dalı,107249,Aktif,DEPARTMENT OF PARASITOLOGY (MEDICINE),11,102,NULL,0
107255,TIBBİ BİYOLOJİ ANABİLİM DALI,TIBBİ BİY,Anabilim Dalı,107249,Aktif,DEPARTMENT OF MEDICAL BIOLOGY,11,102,NULL,0
107256,BİYOFİZİK ANABİLİM DALI,BİYOFİZİK,Anabilim Dalı,107249,Aktif,DEPARTMENT OF BIOPHYSICS (MEDICINE),11,102,NULL,0
107257,ANATOMİ ANABİLİM DALI,ANATOMİ A,Anabilim Dalı,107249,Aktif,DEPARTMENT OF ANATOMY (MEDICINE),11,102,NULL,0
107258,HİSTOLOJİ VE EMBRİYOLOJİ ANABİLİM DALI,HİSTOLOJİ,Anabilim Dalı,107249,Aktif,DEPARTMENT OF HISTOLOGY AND EMBRYOLOGY (MEDICINE),11,102,NULL,0
107259,BİYOİSTATİSTİK ANABİLİM DALI,BİYOİSTAT,Anabilim Dalı,107249,Kapatılmış,DEPARTMENT OF BIOSTATISTICS (MEDICINE),11,102,NULL,0
107260,DİŞ HEKİMLİĞİ FAKÜLTESİ,DİŞ HEKİM,Fakülte,107211,Aktif,FACULTY OF DENTISTRY,2,102,NULL,0
107261,TEMEL BİLİMLER BÖLÜMÜ,TEMEL BİL,Bölüm,107260,Aktif,DEPARTMENT OF BASIC SCIENCES (DENTISTRY),10,102,NULL,0
107262,KLİNİK BİLİMLER BÖLÜMÜ,KLİNİK Bİ,Bölüm,107260,Aktif,DEPARTMENT OF CLINICAL SCIENCES (FACULTY OF DENTISTRY),10,102,NULL,0
107263,"AĞIZ, DİŞ VE ÇENE CERRAHİSİ ANABİLİM DALI","AĞIZ, DİŞ",Anabilim Dalı,107262,Aktif,"DEPARTMENT OF ORAL, DENTAL AND MAXILLOFACIAL SURGERY",11,102,NULL,0
107264,RESTORATİF DİŞ TEDAVİSİ ANABİLİM DALI,RESTORATİ,Anabilim Dalı,107262,Aktif,DEPARTMENT OF RESTORATIVE DENTISTRY,11,102,NULL,0
107265,ORTODONTİ ANABİLİM DALI,ORTODONTİ,Anabilim Dalı,107262,Aktif,DEPARTMENT OF ORTHODONTICS,11,102,NULL,0
107266,PERİODONTOLOJİ ANABİLİM DALI,PERİODONT,Anabilim Dalı,107262,Aktif,DEPARTMENT OF PERIODONTOLOGY,11,102,NULL,0
107267,PROTETİK DİŞ TEDAVİSİ ANABİLİM DALI,"PROTETİK ",Anabilim Dalı,107262,Aktif,DEPARTMENT OF PROSTHETIC DENTISTRY,11,102,NULL,0
107269,PEDODONTİ ANABİLİM DALI,PEDODONTİ,Anabilim Dalı,107262,Aktif,DEPARTMENT OF PEDIATRIC DENTISTRY,11,102,NULL,0
107270,ORAL DİAGNOZ VE RADYOLOJİ ANABİLİM DALI,ORAL DİAG,Anabilim Dalı,107262,Kapatılmış,DEPARTMENT OF ORAL DIAGNOSIS AND RADIOLOGY,11,NULL,NULL,0
107271,FEN-EDEBİYAT FAKÜLTESİ,FEN-EDEBİ,Fakülte,107211,Aktif,FACULTY OF ARTS AND SCIENCES,2,NULL,NULL,0
107272,ARKEOLOJİ VE SANAT TARİHİ BÖLÜMÜ,ARKEOLOJİ,Bölüm,107271,Kapatılmış,DEPARTMENT OF ARCHAEOLOGY AND ART HISTORY,10,NULL,NULL,0
107273,KLASİK ARKEOLOJİ ANABİLİM DALI,KLASİK AR,Anabilim Dalı,107272,Kapatılmış,DEPARTMENT OF CLASSICAL ARCHAEOLOGY,11,NULL,NULL,0
107274,PROTOHİSTORYA VE ÖNASYA ARKEOLOJİSİ ANABİLİM DALI,PROTOHİST,Anabilim Dalı,107272,Kapatılmış,DEPARTMENT OF PROTOHISTORY AND ASIA MINOR ARCHAEOLOGY,11,NULL,NULL,0
107275,BATI DİLLERİ VE EDEBİYATLARI BÖLÜMÜ,BATI DİLL,Bölüm,107271,Aktif,DEPARTMENT OF WESTERN LANGUAGES AND LITERATURES,10,101,NULL,0
107276,ALMAN DİLİ VE EDEBİYATI ANABİLİM DALI,ALMAN DİL,Anabilim Dalı,107275,Kapatılmış,DEPARTMENT OF GERMAN LANGUAGE AND LITERATURE,11,NULL,NULL,0
107277,FRANSIZ DİLİ VE EDEBİYATI ANABİLİM DALI,FRANSIZ D,Anabilim Dalı,107275,Kapatılmış,DEPARTMENT OF FRENCH LANGUAGE AND LITERATURE,11,NULL,NULL,0
107278,İNGİLİZ DİLİ VE EDEBİYATI ANABİLİM DALI,İNGİLİZ D,Anabilim Dalı,107275,Aktif,DEPARTMENT OF ENGLISH LANGUAGE AND LITERATURE,11,101,NULL,0
107279,BİYOLOJİ BÖLÜMÜ,"BİYOLOJİ ",Bölüm,107271,Aktif,DEPARTMENT OF BIOLOGY,10,106,NULL,0
107280,BOTANİK ANABİLİM DALI,BOTANİK A,Anabilim Dalı,107279,Aktif,DEPARTMENT OF BOTANY,11,106,NULL,0
107281,GENEL BİYOLOJİ ANABİLİM DALI,GENEL BİY,Anabilim Dalı,107279,Aktif,DEPARTMENT OF GENERAL BIOLOGY,11,106,NULL,0
107282,MOLEKÜLER BİYOLOJİ ANABİLİM DALI,MOLEKÜLER,Anabilim Dalı,107279,Aktif,DEPARTMENT OF MOLECULAR BIOLOGY,11,106,NULL,0
107283,ZOOLOJİ ANABİLİM DALI,ZOOLOJİ A,Anabilim Dalı,107279,Aktif,DEPARTMENT OF ZOOLOGY,11,106,NULL,0
107284,FİZİK BÖLÜMÜ,FİZİK BÖL,Bölüm,107271,Aktif,DEPARTMENT OF PHYSICS,10,107,NULL,0
107285,ATOM VE MOLEKÜL FİZİĞİ ANABİLİM DALI,ATOM VE M,Anabilim Dalı,107284,Aktif,DEPARTMENT OF ATOM AND MOLECULAR PHYSICS,11,107,NULL,0
107286,GENEL FİZİK ANABİLİM DALI,GENEL FİZ,Anabilim Dalı,107284,Aktif,DEPARTMENT OF GENERAL PHYSICS,11,107,NULL,0
107287,KATIHAL FİZİĞİ ANABİLİM DALI,KATIHAL F,Anabilim Dalı,107284,Aktif,DEPARTMENT OF SOLID-STATE PHYSICS,11,107,NULL,0
107288,NÜKLEER FİZİK ANABİLİM DALI,NÜKLEER F,Anabilim Dalı,107284,Aktif,DEPARTMENT OF NUCLEAR PHYSICS,11,107,NULL,0
107289,YÜKSEK ENERJİ VE PLAZMA FİZİĞİ ANABİLİM DALI,YÜKSEK EN,Anabilim Dalı,107284,Aktif,DEPARTMENT OF HIGH ENERGY AND PLASMA PHYSICS,11,107,NULL,0
107290,İSTATİSTİK BÖLÜMÜ,İSTATİSTİ,Bölüm,107271,Aktif,DEPARTMENT OF STATISTICS,10,107,NULL,0
107291,İSTATİSTİKSEL BİLGİ SİSTEMLERİ ANABİLİM DALI,İSTATİSTİ,Anabilim Dalı,107290,Aktif,DEPARTMENT OF STATISTICAL INFORMATION SYSTEMS,11,107,NULL,0
